Variable,Season,Location,Value,ensemble,machine
siconc,JJA,South Midlat,3.697,p004,lumi
psl,ALL,Global,2.638,p000,mn4
psl,ALL,North Midlat,1.7,p000,mn4
psl,ALL,Tropical,3.316,p000,mn4
psl,ALL,South Midlat,2.218,p000,mn4
psl,DJF,Global,1.023,p000,mn4
psl,DJF,North Midlat,0.572,p000,mn4
psl,DJF,Tropical,1.236,p000,mn4
psl,DJF,South Midlat,1.047,p000,mn4
psl,JJA,Global,3.477,p000,mn4
psl,JJA,North Midlat,3.529,p000,mn4
psl,JJA,Tropical,4.61,p000,mn4
psl,JJA,South Midlat,1.159,p000,mn4
tas,ALL,Global,28.637,p000,mn4
tas,ALL,North Midlat,14.596,p000,mn4
tas,ALL,Tropical,42.809,p000,mn4
tas,ALL,South Midlat,21.152,p000,mn4
tas,DJF,Global,17.895,p000,mn4
tas,DJF,North Midlat,8.947,p000,mn4
tas,DJF,Tropical,26.776,p000,mn4
tas,DJF,South Midlat,14.951,p000,mn4
tas,JJA,Global,34.806,p000,mn4
tas,JJA,North Midlat,31.979,p000,mn4
tas,JJA,Tropical,39.457,p000,mn4
tas,JJA,South Midlat,11.253,p000,mn4
pr,ALL,Global,,p000,mn4
pr,ALL,North Midlat,,p000,mn4
pr,ALL,Tropical,,p000,mn4
pr,ALL,South Midlat,,p000,mn4
pr,DJF,Global,,p000,mn4
pr,DJF,North Midlat,,p000,mn4
pr,DJF,Tropical,,p000,mn4
pr,DJF,South Midlat,,p000,mn4
pr,JJA,Global,,p000,mn4
pr,JJA,North Midlat,,p000,mn4
pr,JJA,Tropical,,p000,mn4
pr,JJA,South Midlat,,p000,mn4
tos,ALL,Global,4.947,p000,mn4
tos,ALL,North Midlat,5.601,p000,mn4
tos,ALL,Tropical,4.465,p000,mn4
tos,ALL,South Midlat,5.446,p000,mn4
tos,DJF,Global,5.834,p000,mn4
tos,DJF,North Midlat,8.997,p000,mn4
tos,DJF,Tropical,4.796,p000,mn4
tos,DJF,South Midlat,6.136,p000,mn4
tos,JJA,Global,9.182,p000,mn4
tos,JJA,North Midlat,15.536,p000,mn4
tos,JJA,Tropical,7.222,p000,mn4
tos,JJA,South Midlat,9.234,p000,mn4
sos,ALL,Global,7.985,p000,mn4
sos,ALL,North Midlat,25.489,p000,mn4
sos,ALL,Tropical,4.358,p000,mn4
sos,ALL,South Midlat,4.708,p000,mn4
sos,DJF,Global,6.754,p000,mn4
sos,DJF,North Midlat,24.004,p000,mn4
sos,DJF,Tropical,3.593,p000,mn4
sos,DJF,South Midlat,2.822,p000,mn4
sos,JJA,Global,6.912,p000,mn4
